faixa_lat,b00_RMSE,censo_RMSE,oni_RMSE
-60_-45,0.8877441525769768,0.903260688808317,0.8794785769516011
-45_-30,1.3184646555611763,1.335593595417316,1.3135702584595919
-30_-15,1.636328126109644,1.6526445858641972,1.6246867566361156
-15_0,1.874363104403288,1.945033755675933,1.867411205017941
0_15,2.958424113056375,2.948299705205564,2.9033269572362177
