faixa_lat,N,B00_RMSE,M05_RMSE,delta
-60_-45,1127520,0.8877441525769768,0.8777395280169771,-0.01000462455999973
-45_-30,1127520,1.3184646555611763,1.3135384477467273,-0.0049262078144489685
-30_-15,1127520,1.636328126109644,1.6155268220822383,-0.020801304027405765
-15_0,1127520,1.874363104403288,1.8946134878989365,0.02025038349564845
0_15,1146312,2.958424113056375,2.9488318942405027,-0.009592218815872133
