modelo,rmse_A,rmse_B,media,pior_caso
B00,1.8938,1.9003,1.8970500000000001,1.9003
M03,1.9048,1.8874,1.8961000000000001,1.9048
M05,1.890256633145838,1.9004654773203822,1.89536105523311,1.9004654773203822
