fold,cutoff,b00_RMSE,censo_RMSE,censo_shrink_RMSE,oni_RMSE,delta_censo_b00,delta_censo_oni
F1,2016-12-01,1.8604014749195676,1.8614358318026503,1.8515767463909085,1.8483356170588756,0.001034356883082621,0.013100214743774652
F2,2018-12-01,1.867258939807653,1.9090518643272931,1.8693553989530496,1.8276406267829108,0.04179292451964023,0.08141123754438229
F3,2020-12-01,1.8937715407983253,1.904113911832109,1.880816202438249,1.8778856326464266,0.01034237103378377,0.02622827918568249
AGREGADO,,1.873865901010721,1.8916546694929033,1.8672881979602307,1.8514021050054394,0.01778876848218225,0.04025256448746384
