fold,cutoff,B00_RMSE,M05_ONI_RMSE,delta_ONI_menos_B00
F1,2016-12-01,1.8604014675305958,1.8483356170588756,-0.012065850471720152
F2,2018-12-01,1.8672589545933234,1.8276406267829108,-0.039618327810412524
F3,2020-12-01,1.8937715420531418,1.8778856326464266,-0.015885909406715193
AGREGADO,,1.8738659038993228,1.8514021050054394,-0.02246379889388339
