config,mudanca,hipotese,rmse_A,rmse_B,media,pior_caso,delta_T00_A,delta_T00_B,delta_B00_A,delta_B00_B
T00,controle (config atual do M03),referencia,1.919019021153427,1.894127188381157,1.906573104767292,1.919019021153427,0.0,0.0,0.025219021153427112,-0.006172811618843088
T01,num_leaves 31 -> 15,arvore mais simples generaliza melhor (residuo e ruidoso),1.9047560219398165,1.887422704655694,1.8960893632977553,1.9047560219398165,-0.014262999213610517,-0.006704483725463062,0.010956021939816596,-0.01287729534430615
T02,num_leaves 31 -> 63,"mais capacidade capta padroes finos, risco de overfit",1.9344587577219343,1.9114107809811347,1.9229347693515346,1.9344587577219343,0.015439736568507278,0.017283592599977693,0.04065875772193439,0.011110780981134605
T03,min_child_samples 20 -> 50,regularizacao mais forte reduz overfit a pontos isolados,1.9188995052494398,1.896443575545313,1.9076715403973763,1.9188995052494398,-0.0001195159039872884,0.002316387164156053,0.025099505249439824,-0.003856424454687035
T04,min_child_samples 20 -> 10,"menos regularizacao, ajusta mais ao treino (risco maior de overfit)",1.916452609429261,1.8915746094346686,1.9040136094319648,1.916452609429261,-0.00256641172416594,-0.002552578946488415,0.022652609429261172,-0.008725390565331503
T05,"learning_rate 0.05 -> 0.02, n_estimators 300 -> 800",aprendizado mais gradual generaliza melhor,1.9179160836588438,1.8959921475061332,1.9069541155824885,1.9179160836588438,-0.0011029374945832338,0.0018649591249761954,0.02411608365884388,-0.004307852493866893
T06,"colsample_bytree=0.8, subsample=0.8, subsample_freq=1",subamostragem de linhas/colunas reduz variancia entre arvores,1.9164174761827941,1.9003367570623808,1.9083771166225874,1.9164174761827941,-0.0026015449706329186,0.006209568681223798,0.022617476182794194,3.675706238071008e-05
