backtest,horizonte,rmse
A,1,2.770597219467163
A,2,3.8316564559936523
A,3,3.8555853366851807
A,4,4.051253318786621
A,5,4.44371223449707
A,6,3.575745105743408
A,7,3.9216253757476807
A,8,4.145148754119873
A,9,3.472097158432007
A,10,2.8415982723236084
A,11,2.70365309715271
A,12,3.203555107116699
A,13,3.0929112434387207
A,14,3.305051326751709
A,15,4.975589752197266
A,16,4.361775875091553
A,17,4.399337291717529
A,18,4.089993476867676
A,19,4.210107326507568
A,20,3.849457025527954
A,21,3.8184010982513428
A,22,3.232828378677368
A,23,3.653045177459717
A,24,2.7994132041931152
B,1,3.0932137966156006
B,2,3.2586536407470703
B,3,5.121381759643555
B,4,4.759532451629639
B,5,4.9224371910095215
B,6,5.059935092926025
B,7,5.385587692260742
B,8,5.196268081665039
B,9,4.995532989501953
B,10,4.485194683074951
B,11,3.743482828140259
B,12,2.4052839279174805
