seas,yr,anom,mes1,mes2,mes3,disponibilidade_conservadora,data_indexada_antiga_por_centro
ASO,1974,-0.47,1974-08-01,1974-09-01,1974-10-01,1974-10-01,1974-09-01
SON,1974,-0.69,1974-09-01,1974-10-01,1974-11-01,1974-11-01,1974-10-01
OND,1974,-0.88,1974-10-01,1974-11-01,1974-12-01,1974-12-01,1974-11-01
NDJ,1974,-0.71,1974-11-01,1974-12-01,1975-01-01,1975-01-01,1974-12-01
DJF,1975,-0.56,1974-12-01,1975-01-01,1975-02-01,1975-02-01,1975-01-01
JFM,1975,-0.55,1975-01-01,1975-02-01,1975-03-01,1975-03-01,1975-02-01
FMA,1975,-0.61,1975-02-01,1975-03-01,1975-04-01,1975-04-01,1975-03-01
MAM,1975,-0.66,1975-03-01,1975-04-01,1975-05-01,1975-05-01,1975-04-01
AMJ,1975,-0.8,1975-04-01,1975-05-01,1975-06-01,1975-06-01,1975-05-01
MJJ,1975,-0.92,1975-05-01,1975-06-01,1975-07-01,1975-07-01,1975-06-01
JJA,1975,-1.08,1975-06-01,1975-07-01,1975-08-01,1975-08-01,1975-07-01
JAS,1975,-1.12,1975-07-01,1975-08-01,1975-09-01,1975-09-01,1975-08-01
ASO,1975,-1.29,1975-08-01,1975-09-01,1975-10-01,1975-10-01,1975-09-01
SON,1975,-1.32,1975-09-01,1975-10-01,1975-11-01,1975-11-01,1975-10-01
OND,1975,-1.47,1975-10-01,1975-11-01,1975-12-01,1975-12-01,1975-11-01
NDJ,1975,-1.58,1975-11-01,1975-12-01,1976-01-01,1976-01-01,1975-12-01
DJF,1976,-1.49,1975-12-01,1976-01-01,1976-02-01,1976-02-01,1976-01-01
JFM,1976,-1.11,1976-01-01,1976-02-01,1976-03-01,1976-03-01,1976-02-01
FMA,1976,-0.65,1976-02-01,1976-03-01,1976-04-01,1976-04-01,1976-03-01
MAM,1976,-0.45,1976-03-01,1976-04-01,1976-05-01,1976-05-01,1976-04-01
AMJ,1976,-0.23,1976-04-01,1976-05-01,1976-06-01,1976-06-01,1976-05-01
MJJ,1976,0.0,1976-05-01,1976-06-01,1976-07-01,1976-07-01,1976-06-01
JJA,1976,0.23,1976-06-01,1976-07-01,1976-08-01,1976-08-01,1976-07-01
JAS,1976,0.4,1976-07-01,1976-08-01,1976-09-01,1976-09-01,1976-08-01
ASO,1976,0.6,1976-08-01,1976-09-01,1976-10-01,1976-10-01,1976-09-01
SON,1976,0.79,1976-09-01,1976-10-01,1976-11-01,1976-11-01,1976-10-01
OND,1976,0.81,1976-10-01,1976-11-01,1976-12-01,1976-12-01,1976-11-01
NDJ,1976,0.84,1976-11-01,1976-12-01,1977-01-01,1977-01-01,1976-12-01
DJF,1977,0.71,1976-12-01,1977-01-01,1977-02-01,1977-02-01,1977-01-01
JFM,1977,0.66,1977-01-01,1977-02-01,1977-03-01,1977-03-01,1977-02-01
FMA,1977,0.33,1977-02-01,1977-03-01,1977-04-01,1977-04-01,1977-03-01
MAM,1977,0.26,1977-03-01,1977-04-01,1977-05-01,1977-05-01,1977-04-01
AMJ,1977,0.26,1977-04-01,1977-05-01,1977-06-01,1977-06-01,1977-05-01
MJJ,1977,0.46,1977-05-01,1977-06-01,1977-07-01,1977-07-01,1977-06-01
JJA,1977,0.39,1977-06-01,1977-07-01,1977-08-01,1977-08-01,1977-07-01
JAS,1977,0.35,1977-07-01,1977-08-01,1977-09-01,1977-09-01,1977-08-01
ASO,1977,0.45,1977-08-01,1977-09-01,1977-10-01,1977-10-01,1977-09-01
SON,1977,0.68,1977-09-01,1977-10-01,1977-11-01,1977-11-01,1977-10-01
OND,1977,0.84,1977-10-01,1977-11-01,1977-12-01,1977-12-01,1977-11-01
NDJ,1977,0.82,1977-11-01,1977-12-01,1978-01-01,1978-01-01,1977-12-01
DJF,1978,0.71,1977-12-01,1978-01-01,1978-02-01,1978-02-01,1978-01-01
JFM,1978,0.52,1978-01-01,1978-02-01,1978-03-01,1978-03-01,1978-02-01
FMA,1978,0.17,1978-02-01,1978-03-01,1978-04-01,1978-04-01,1978-03-01
MAM,1978,-0.06,1978-03-01,1978-04-01,1978-05-01,1978-05-01,1978-04-01
AMJ,1978,-0.28,1978-04-01,1978-05-01,1978-06-01,1978-06-01,1978-05-01
MJJ,1978,-0.24,1978-05-01,1978-06-01,1978-07-01,1978-07-01,1978-06-01
JJA,1978,-0.37,1978-06-01,1978-07-01,1978-08-01,1978-08-01,1978-07-01
JAS,1978,-0.37,1978-07-01,1978-08-01,1978-09-01,1978-09-01,1978-08-01
ASO,1978,-0.44,1978-08-01,1978-09-01,1978-10-01,1978-10-01,1978-09-01
SON,1978,-0.27,1978-09-01,1978-10-01,1978-11-01,1978-11-01,1978-10-01
OND,1978,-0.07,1978-10-01,1978-11-01,1978-12-01,1978-12-01,1978-11-01
NDJ,1978,0.11,1978-11-01,1978-12-01,1979-01-01,1979-01-01,1978-12-01
DJF,1979,0.19,1978-12-01,1979-01-01,1979-02-01,1979-02-01,1979-01-01
JFM,1979,0.21,1979-01-01,1979-02-01,1979-03-01,1979-03-01,1979-02-01
FMA,1979,0.29,1979-02-01,1979-03-01,1979-04-01,1979-04-01,1979-03-01
MAM,1979,0.32,1979-03-01,1979-04-01,1979-05-01,1979-05-01,1979-04-01
AMJ,1979,0.29,1979-04-01,1979-05-01,1979-06-01,1979-06-01,1979-05-01
MJJ,1979,0.14,1979-05-01,1979-06-01,1979-07-01,1979-07-01,1979-06-01
JJA,1979,0.09,1979-06-01,1979-07-01,1979-08-01,1979-08-01,1979-07-01
JAS,1979,0.22,1979-07-01,1979-08-01,1979-09-01,1979-09-01,1979-08-01
ASO,1979,0.34,1979-08-01,1979-09-01,1979-10-01,1979-10-01,1979-09-01
SON,1979,0.47,1979-09-01,1979-10-01,1979-11-01,1979-11-01,1979-10-01
OND,1979,0.5,1979-10-01,1979-11-01,1979-12-01,1979-12-01,1979-11-01
NDJ,1979,0.64,1979-11-01,1979-12-01,1980-01-01,1980-01-01,1979-12-01
DJF,1980,0.62,1979-12-01,1980-01-01,1980-02-01,1980-02-01,1980-01-01
JFM,1980,0.47,1980-01-01,1980-02-01,1980-03-01,1980-03-01,1980-02-01
FMA,1980,0.35,1980-02-01,1980-03-01,1980-04-01,1980-04-01,1980-03-01
MAM,1980,0.34,1980-03-01,1980-04-01,1980-05-01,1980-05-01,1980-04-01
AMJ,1980,0.45,1980-04-01,1980-05-01,1980-06-01,1980-06-01,1980-05-01
MJJ,1980,0.4,1980-05-01,1980-06-01,1980-07-01,1980-07-01,1980-06-01
JJA,1980,0.18,1980-06-01,1980-07-01,1980-08-01,1980-08-01,1980-07-01
JAS,1980,-0.06,1980-07-01,1980-08-01,1980-09-01,1980-09-01,1980-08-01
ASO,1980,-0.17,1980-08-01,1980-09-01,1980-10-01,1980-10-01,1980-09-01
SON,1980,-0.07,1980-09-01,1980-10-01,1980-11-01,1980-11-01,1980-10-01
OND,1980,0.08,1980-10-01,1980-11-01,1980-12-01,1980-12-01,1980-11-01
NDJ,1980,-0.05,1980-11-01,1980-12-01,1981-01-01,1981-01-01,1980-12-01
DJF,1981,-0.27,1980-12-01,1981-01-01,1981-02-01,1981-02-01,1981-01-01
JFM,1981,-0.42,1981-01-01,1981-02-01,1981-03-01,1981-03-01,1981-02-01
FMA,1981,-0.41,1981-02-01,1981-03-01,1981-04-01,1981-04-01,1981-03-01
MAM,1981,-0.27,1981-03-01,1981-04-01,1981-05-01,1981-05-01,1981-04-01
AMJ,1981,-0.28,1981-04-01,1981-05-01,1981-06-01,1981-06-01,1981-05-01
MJJ,1981,-0.27,1981-05-01,1981-06-01,1981-07-01,1981-07-01,1981-06-01
JJA,1981,-0.28,1981-06-01,1981-07-01,1981-08-01,1981-08-01,1981-07-01
JAS,1981,-0.23,1981-07-01,1981-08-01,1981-09-01,1981-09-01,1981-08-01
ASO,1981,-0.08,1981-08-01,1981-09-01,1981-10-01,1981-10-01,1981-09-01
SON,1981,-0.16,1981-09-01,1981-10-01,1981-11-01,1981-11-01,1981-10-01
OND,1981,-0.19,1981-10-01,1981-11-01,1981-12-01,1981-12-01,1981-11-01
NDJ,1981,-0.14,1981-11-01,1981-12-01,1982-01-01,1982-01-01,1981-12-01
DJF,1982,-0.05,1981-12-01,1982-01-01,1982-02-01,1982-02-01,1982-01-01
JFM,1982,0.02,1982-01-01,1982-02-01,1982-03-01,1982-03-01,1982-02-01
FMA,1982,0.07,1982-02-01,1982-03-01,1982-04-01,1982-04-01,1982-03-01
MAM,1982,0.34,1982-03-01,1982-04-01,1982-05-01,1982-05-01,1982-04-01
AMJ,1982,0.65,1982-04-01,1982-05-01,1982-06-01,1982-06-01,1982-05-01
MJJ,1982,0.73,1982-05-01,1982-06-01,1982-07-01,1982-07-01,1982-06-01
JJA,1982,0.78,1982-06-01,1982-07-01,1982-08-01,1982-08-01,1982-07-01
JAS,1982,0.99,1982-07-01,1982-08-01,1982-09-01,1982-09-01,1982-08-01
ASO,1982,1.45,1982-08-01,1982-09-01,1982-10-01,1982-10-01,1982-09-01
SON,1982,1.82,1982-09-01,1982-10-01,1982-11-01,1982-11-01,1982-10-01
OND,1982,2.03,1982-10-01,1982-11-01,1982-12-01,1982-12-01,1982-11-01
NDJ,1982,2.12,1982-11-01,1982-12-01,1983-01-01,1983-01-01,1982-12-01
DJF,1983,2.14,1982-12-01,1983-01-01,1983-02-01,1983-02-01,1983-01-01
JFM,1983,1.91,1983-01-01,1983-02-01,1983-03-01,1983-03-01,1983-02-01
FMA,1983,1.52,1983-02-01,1983-03-01,1983-04-01,1983-04-01,1983-03-01
MAM,1983,1.23,1983-03-01,1983-04-01,1983-05-01,1983-05-01,1983-04-01
AMJ,1983,0.95,1983-04-01,1983-05-01,1983-06-01,1983-06-01,1983-05-01
MJJ,1983,0.62,1983-05-01,1983-06-01,1983-07-01,1983-07-01,1983-06-01
JJA,1983,0.25,1983-06-01,1983-07-01,1983-08-01,1983-08-01,1983-07-01
JAS,1983,-0.06,1983-07-01,1983-08-01,1983-09-01,1983-09-01,1983-08-01
ASO,1983,-0.43,1983-08-01,1983-09-01,1983-10-01,1983-10-01,1983-09-01
SON,1983,-0.76,1983-09-01,1983-10-01,1983-11-01,1983-11-01,1983-10-01
OND,1983,-0.96,1983-10-01,1983-11-01,1983-12-01,1983-12-01,1983-11-01
NDJ,1983,-0.89,1983-11-01,1983-12-01,1984-01-01,1984-01-01,1983-12-01
DJF,1984,-0.63,1983-12-01,1984-01-01,1984-02-01,1984-02-01,1984-01-01
JFM,1984,-0.51,1984-01-01,1984-02-01,1984-03-01,1984-03-01,1984-02-01
FMA,1984,-0.38,1984-02-01,1984-03-01,1984-04-01,1984-04-01,1984-03-01
MAM,1984,-0.47,1984-03-01,1984-04-01,1984-05-01,1984-05-01,1984-04-01
AMJ,1984,-0.55,1984-04-01,1984-05-01,1984-06-01,1984-06-01,1984-05-01
MJJ,1984,-0.52,1984-05-01,1984-06-01,1984-07-01,1984-07-01,1984-06-01
JJA,1984,-0.39,1984-06-01,1984-07-01,1984-08-01,1984-08-01,1984-07-01
JAS,1984,-0.22,1984-07-01,1984-08-01,1984-09-01,1984-09-01,1984-08-01
ASO,1984,-0.32,1984-08-01,1984-09-01,1984-10-01,1984-10-01,1984-09-01
SON,1984,-0.62,1984-09-01,1984-10-01,1984-11-01,1984-11-01,1984-10-01
OND,1984,-0.95,1984-10-01,1984-11-01,1984-12-01,1984-12-01,1984-11-01
NDJ,1984,-1.06,1984-11-01,1984-12-01,1985-01-01,1985-01-01,1984-12-01
DJF,1985,-1.01,1984-12-01,1985-01-01,1985-02-01,1985-02-01,1985-01-01
JFM,1985,-0.86,1985-01-01,1985-02-01,1985-03-01,1985-03-01,1985-02-01
FMA,1985,-0.85,1985-02-01,1985-03-01,1985-04-01,1985-04-01,1985-03-01
MAM,1985,-0.8,1985-03-01,1985-04-01,1985-05-01,1985-05-01,1985-04-01
AMJ,1985,-0.79,1985-04-01,1985-05-01,1985-06-01,1985-06-01,1985-05-01
MJJ,1985,-0.6,1985-05-01,1985-06-01,1985-07-01,1985-07-01,1985-06-01
JJA,1985,-0.44,1985-06-01,1985-07-01,1985-08-01,1985-08-01,1985-07-01
JAS,1985,-0.33,1985-07-01,1985-08-01,1985-09-01,1985-09-01,1985-08-01
ASO,1985,-0.31,1985-08-01,1985-09-01,1985-10-01,1985-10-01,1985-09-01
SON,1985,-0.3,1985-09-01,1985-10-01,1985-11-01,1985-11-01,1985-10-01
OND,1985,-0.28,1985-10-01,1985-11-01,1985-12-01,1985-12-01,1985-11-01
NDJ,1985,-0.36,1985-11-01,1985-12-01,1986-01-01,1986-01-01,1985-12-01
DJF,1986,-0.4,1985-12-01,1986-01-01,1986-02-01,1986-02-01,1986-01-01
JFM,1986,-0.38,1986-01-01,1986-02-01,1986-03-01,1986-03-01,1986-02-01
FMA,1986,-0.25,1986-02-01,1986-03-01,1986-04-01,1986-04-01,1986-03-01
MAM,1986,-0.17,1986-03-01,1986-04-01,1986-05-01,1986-05-01,1986-04-01
AMJ,1986,-0.09,1986-04-01,1986-05-01,1986-06-01,1986-06-01,1986-05-01
MJJ,1986,0.02,1986-05-01,1986-06-01,1986-07-01,1986-07-01,1986-06-01
JJA,1986,0.24,1986-06-01,1986-07-01,1986-08-01,1986-08-01,1986-07-01
JAS,1986,0.46,1986-07-01,1986-08-01,1986-09-01,1986-09-01,1986-08-01
ASO,1986,0.64,1986-08-01,1986-09-01,1986-10-01,1986-10-01,1986-09-01
SON,1986,0.86,1986-09-01,1986-10-01,1986-11-01,1986-11-01,1986-10-01
OND,1986,1.06,1986-10-01,1986-11-01,1986-12-01,1986-12-01,1986-11-01
NDJ,1986,1.21,1986-11-01,1986-12-01,1987-01-01,1987-01-01,1986-12-01
DJF,1987,1.18,1986-12-01,1987-01-01,1987-02-01,1987-02-01,1987-01-01
JFM,1987,1.13,1987-01-01,1987-02-01,1987-03-01,1987-03-01,1987-02-01
FMA,1987,1.02,1987-02-01,1987-03-01,1987-04-01,1987-04-01,1987-03-01
MAM,1987,0.94,1987-03-01,1987-04-01,1987-05-01,1987-05-01,1987-04-01
AMJ,1987,0.95,1987-04-01,1987-05-01,1987-06-01,1987-06-01,1987-05-01
MJJ,1987,1.11,1987-05-01,1987-06-01,1987-07-01,1987-07-01,1987-06-01
JJA,1987,1.3,1987-06-01,1987-07-01,1987-08-01,1987-08-01,1987-07-01
JAS,1987,1.46,1987-07-01,1987-08-01,1987-09-01,1987-09-01,1987-08-01
ASO,1987,1.49,1987-08-01,1987-09-01,1987-10-01,1987-10-01,1987-09-01
SON,1987,1.41,1987-09-01,1987-10-01,1987-11-01,1987-11-01,1987-10-01
OND,1987,1.2,1987-10-01,1987-11-01,1987-12-01,1987-12-01,1987-11-01
NDJ,1987,1.0,1987-11-01,1987-12-01,1988-01-01,1988-01-01,1987-12-01
DJF,1988,0.63,1987-12-01,1988-01-01,1988-02-01,1988-02-01,1988-01-01
JFM,1988,0.37,1988-01-01,1988-02-01,1988-03-01,1988-03-01,1988-02-01
FMA,1988,-0.03,1988-02-01,1988-03-01,1988-04-01,1988-04-01,1988-03-01
MAM,1988,-0.45,1988-03-01,1988-04-01,1988-05-01,1988-05-01,1988-04-01
AMJ,1988,-0.99,1988-04-01,1988-05-01,1988-06-01,1988-06-01,1988-05-01
MJJ,1988,-1.3,1988-05-01,1988-06-01,1988-07-01,1988-07-01,1988-06-01
JJA,1988,-1.3,1988-06-01,1988-07-01,1988-08-01,1988-08-01,1988-07-01
JAS,1988,-1.14,1988-07-01,1988-08-01,1988-09-01,1988-09-01,1988-08-01
ASO,1988,-1.27,1988-08-01,1988-09-01,1988-10-01,1988-10-01,1988-09-01
SON,1988,-1.54,1988-09-01,1988-10-01,1988-11-01,1988-11-01,1988-10-01
OND,1988,-1.81,1988-10-01,1988-11-01,1988-12-01,1988-12-01,1988-11-01
NDJ,1988,-1.85,1988-11-01,1988-12-01,1989-01-01,1989-01-01,1988-12-01
DJF,1989,-1.64,1988-12-01,1989-01-01,1989-02-01,1989-02-01,1989-01-01
JFM,1989,-1.38,1989-01-01,1989-02-01,1989-03-01,1989-03-01,1989-02-01
FMA,1989,-1.09,1989-02-01,1989-03-01,1989-04-01,1989-04-01,1989-03-01
MAM,1989,-0.85,1989-03-01,1989-04-01,1989-05-01,1989-05-01,1989-04-01
AMJ,1989,-0.61,1989-04-01,1989-05-01,1989-06-01,1989-06-01,1989-05-01
MJJ,1989,-0.4,1989-05-01,1989-06-01,1989-07-01,1989-07-01,1989-06-01
JJA,1989,-0.37,1989-06-01,1989-07-01,1989-08-01,1989-08-01,1989-07-01
JAS,1989,-0.36,1989-07-01,1989-08-01,1989-09-01,1989-09-01,1989-08-01
ASO,1989,-0.33,1989-08-01,1989-09-01,1989-10-01,1989-10-01,1989-09-01
SON,1989,-0.25,1989-09-01,1989-10-01,1989-11-01,1989-11-01,1989-10-01
OND,1989,-0.12,1989-10-01,1989-11-01,1989-12-01,1989-12-01,1989-11-01
NDJ,1989,-0.04,1989-11-01,1989-12-01,1990-01-01,1990-01-01,1989-12-01
DJF,1990,0.18,1989-12-01,1990-01-01,1990-02-01,1990-02-01,1990-01-01
JFM,1990,0.19,1990-01-01,1990-02-01,1990-03-01,1990-03-01,1990-02-01
FMA,1990,0.3,1990-02-01,1990-03-01,1990-04-01,1990-04-01,1990-03-01
MAM,1990,0.27,1990-03-01,1990-04-01,1990-05-01,1990-05-01,1990-04-01
AMJ,1990,0.25,1990-04-01,1990-05-01,1990-06-01,1990-06-01,1990-05-01
MJJ,1990,0.25,1990-05-01,1990-06-01,1990-07-01,1990-07-01,1990-06-01
JJA,1990,0.26,1990-06-01,1990-07-01,1990-08-01,1990-08-01,1990-07-01
JAS,1990,0.32,1990-07-01,1990-08-01,1990-09-01,1990-09-01,1990-08-01
ASO,1990,0.31,1990-08-01,1990-09-01,1990-10-01,1990-10-01,1990-09-01
SON,1990,0.27,1990-09-01,1990-10-01,1990-11-01,1990-11-01,1990-10-01
OND,1990,0.31,1990-10-01,1990-11-01,1990-12-01,1990-12-01,1990-11-01
NDJ,1990,0.34,1990-11-01,1990-12-01,1991-01-01,1991-01-01,1990-12-01
DJF,1991,0.35,1990-12-01,1991-01-01,1991-02-01,1991-02-01,1991-01-01
JFM,1991,0.26,1991-01-01,1991-02-01,1991-03-01,1991-03-01,1991-02-01
FMA,1991,0.23,1991-02-01,1991-03-01,1991-04-01,1991-04-01,1991-03-01
MAM,1991,0.29,1991-03-01,1991-04-01,1991-05-01,1991-05-01,1991-04-01
AMJ,1991,0.49,1991-04-01,1991-05-01,1991-06-01,1991-06-01,1991-05-01
MJJ,1991,0.63,1991-05-01,1991-06-01,1991-07-01,1991-07-01,1991-06-01
JJA,1991,0.77,1991-06-01,1991-07-01,1991-08-01,1991-08-01,1991-07-01
JAS,1991,0.67,1991-07-01,1991-08-01,1991-09-01,1991-09-01,1991-08-01
ASO,1991,0.72,1991-08-01,1991-09-01,1991-10-01,1991-10-01,1991-09-01
SON,1991,0.83,1991-09-01,1991-10-01,1991-11-01,1991-11-01,1991-10-01
OND,1991,1.18,1991-10-01,1991-11-01,1991-12-01,1991-12-01,1991-11-01
NDJ,1991,1.43,1991-11-01,1991-12-01,1992-01-01,1992-01-01,1991-12-01
DJF,1992,1.54,1991-12-01,1992-01-01,1992-02-01,1992-02-01,1992-01-01
JFM,1992,1.5,1992-01-01,1992-02-01,1992-03-01,1992-03-01,1992-02-01
FMA,1992,1.4,1992-02-01,1992-03-01,1992-04-01,1992-04-01,1992-03-01
MAM,1992,1.3,1992-03-01,1992-04-01,1992-05-01,1992-05-01,1992-04-01
AMJ,1992,1.08,1992-04-01,1992-05-01,1992-06-01,1992-06-01,1992-05-01
MJJ,1992,0.72,1992-05-01,1992-06-01,1992-07-01,1992-07-01,1992-06-01
JJA,1992,0.35,1992-06-01,1992-07-01,1992-08-01,1992-08-01,1992-07-01
JAS,1992,0.08,1992-07-01,1992-08-01,1992-09-01,1992-09-01,1992-08-01
ASO,1992,-0.15,1992-08-01,1992-09-01,1992-10-01,1992-10-01,1992-09-01
SON,1992,-0.22,1992-09-01,1992-10-01,1992-11-01,1992-11-01,1992-10-01
OND,1992,-0.24,1992-10-01,1992-11-01,1992-12-01,1992-12-01,1992-11-01
NDJ,1992,-0.05,1992-11-01,1992-12-01,1993-01-01,1993-01-01,1992-12-01
DJF,1993,0.13,1992-12-01,1993-01-01,1993-02-01,1993-02-01,1993-01-01
JFM,1993,0.31,1993-01-01,1993-02-01,1993-03-01,1993-03-01,1993-02-01
FMA,1993,0.5,1993-02-01,1993-03-01,1993-04-01,1993-04-01,1993-03-01
MAM,1993,0.73,1993-03-01,1993-04-01,1993-05-01,1993-05-01,1993-04-01
AMJ,1993,0.76,1993-04-01,1993-05-01,1993-06-01,1993-06-01,1993-05-01
MJJ,1993,0.56,1993-05-01,1993-06-01,1993-07-01,1993-07-01,1993-06-01
JJA,1993,0.28,1993-06-01,1993-07-01,1993-08-01,1993-08-01,1993-07-01
JAS,1993,0.22,1993-07-01,1993-08-01,1993-09-01,1993-09-01,1993-08-01
ASO,1993,0.2,1993-08-01,1993-09-01,1993-10-01,1993-10-01,1993-09-01
SON,1993,0.2,1993-09-01,1993-10-01,1993-11-01,1993-11-01,1993-10-01
OND,1993,0.2,1993-10-01,1993-11-01,1993-12-01,1993-12-01,1993-11-01
NDJ,1993,0.19,1993-11-01,1993-12-01,1994-01-01,1994-01-01,1993-12-01
DJF,1994,0.07,1993-12-01,1994-01-01,1994-02-01,1994-02-01,1994-01-01
JFM,1994,0.0,1994-01-01,1994-02-01,1994-03-01,1994-03-01,1994-02-01
FMA,1994,0.04,1994-02-01,1994-03-01,1994-04-01,1994-04-01,1994-03-01
MAM,1994,0.17,1994-03-01,1994-04-01,1994-05-01,1994-05-01,1994-04-01
AMJ,1994,0.25,1994-04-01,1994-05-01,1994-06-01,1994-06-01,1994-05-01
MJJ,1994,0.23,1994-05-01,1994-06-01,1994-07-01,1994-07-01,1994-06-01
JJA,1994,0.3,1994-06-01,1994-07-01,1994-08-01,1994-08-01,1994-07-01
JAS,1994,0.3,1994-07-01,1994-08-01,1994-09-01,1994-09-01,1994-08-01
ASO,1994,0.47,1994-08-01,1994-09-01,1994-10-01,1994-10-01,1994-09-01
SON,1994,0.66,1994-09-01,1994-10-01,1994-11-01,1994-11-01,1994-10-01
OND,1994,0.93,1994-10-01,1994-11-01,1994-12-01,1994-12-01,1994-11-01
NDJ,1994,0.97,1994-11-01,1994-12-01,1995-01-01,1995-01-01,1994-12-01
DJF,1995,0.88,1994-12-01,1995-01-01,1995-02-01,1995-02-01,1995-01-01
JFM,1995,0.65,1995-01-01,1995-02-01,1995-03-01,1995-03-01,1995-02-01
FMA,1995,0.46,1995-02-01,1995-03-01,1995-04-01,1995-04-01,1995-03-01
MAM,1995,0.19,1995-03-01,1995-04-01,1995-05-01,1995-05-01,1995-04-01
AMJ,1995,0.03,1995-04-01,1995-05-01,1995-06-01,1995-06-01,1995-05-01
MJJ,1995,-0.11,1995-05-01,1995-06-01,1995-07-01,1995-07-01,1995-06-01
JJA,1995,-0.3,1995-06-01,1995-07-01,1995-08-01,1995-08-01,1995-07-01
JAS,1995,-0.55,1995-07-01,1995-08-01,1995-09-01,1995-09-01,1995-08-01
ASO,1995,-0.81,1995-08-01,1995-09-01,1995-10-01,1995-10-01,1995-09-01
SON,1995,-0.97,1995-09-01,1995-10-01,1995-11-01,1995-11-01,1995-10-01
OND,1995,-1.05,1995-10-01,1995-11-01,1995-12-01,1995-12-01,1995-11-01
NDJ,1995,-1.01,1995-11-01,1995-12-01,1996-01-01,1996-01-01,1995-12-01
DJF,1996,-0.88,1995-12-01,1996-01-01,1996-02-01,1996-02-01,1996-01-01
JFM,1996,-0.7,1996-01-01,1996-02-01,1996-03-01,1996-03-01,1996-02-01
FMA,1996,-0.52,1996-02-01,1996-03-01,1996-04-01,1996-04-01,1996-03-01
MAM,1996,-0.36,1996-03-01,1996-04-01,1996-05-01,1996-05-01,1996-04-01
AMJ,1996,-0.25,1996-04-01,1996-05-01,1996-06-01,1996-06-01,1996-05-01
MJJ,1996,-0.24,1996-05-01,1996-06-01,1996-07-01,1996-07-01,1996-06-01
JJA,1996,-0.22,1996-06-01,1996-07-01,1996-08-01,1996-08-01,1996-07-01
JAS,1996,-0.27,1996-07-01,1996-08-01,1996-09-01,1996-09-01,1996-08-01
ASO,1996,-0.3,1996-08-01,1996-09-01,1996-10-01,1996-10-01,1996-09-01
SON,1996,-0.33,1996-09-01,1996-10-01,1996-11-01,1996-11-01,1996-10-01
OND,1996,-0.39,1996-10-01,1996-11-01,1996-12-01,1996-12-01,1996-11-01
NDJ,1996,-0.41,1996-11-01,1996-12-01,1997-01-01,1997-01-01,1996-12-01
DJF,1997,-0.41,1996-12-01,1997-01-01,1997-02-01,1997-02-01,1997-01-01
JFM,1997,-0.26,1997-01-01,1997-02-01,1997-03-01,1997-03-01,1997-02-01
FMA,1997,-0.03,1997-02-01,1997-03-01,1997-04-01,1997-04-01,1997-03-01
MAM,1997,0.3,1997-03-01,1997-04-01,1997-05-01,1997-05-01,1997-04-01
AMJ,1997,0.71,1997-04-01,1997-05-01,1997-06-01,1997-06-01,1997-05-01
MJJ,1997,1.13,1997-05-01,1997-06-01,1997-07-01,1997-07-01,1997-06-01
JJA,1997,1.48,1997-06-01,1997-07-01,1997-08-01,1997-08-01,1997-07-01
JAS,1997,1.79,1997-07-01,1997-08-01,1997-09-01,1997-09-01,1997-08-01
ASO,1997,2.04,1997-08-01,1997-09-01,1997-10-01,1997-10-01,1997-09-01
SON,1997,2.24,1997-09-01,1997-10-01,1997-11-01,1997-11-01,1997-10-01
OND,1997,2.34,1997-10-01,1997-11-01,1997-12-01,1997-12-01,1997-11-01
NDJ,1997,2.37,1997-11-01,1997-12-01,1998-01-01,1998-01-01,1997-12-01
DJF,1998,2.22,1997-12-01,1998-01-01,1998-02-01,1998-02-01,1998-01-01
JFM,1998,1.91,1998-01-01,1998-02-01,1998-03-01,1998-03-01,1998-02-01
FMA,1998,1.4,1998-02-01,1998-03-01,1998-04-01,1998-04-01,1998-03-01
MAM,1998,1.03,1998-03-01,1998-04-01,1998-05-01,1998-05-01,1998-04-01
AMJ,1998,0.4,1998-04-01,1998-05-01,1998-06-01,1998-06-01,1998-05-01
MJJ,1998,-0.08,1998-05-01,1998-06-01,1998-07-01,1998-07-01,1998-06-01
JJA,1998,-0.63,1998-06-01,1998-07-01,1998-08-01,1998-08-01,1998-07-01
JAS,1998,-0.83,1998-07-01,1998-08-01,1998-09-01,1998-09-01,1998-08-01
ASO,1998,-1.02,1998-08-01,1998-09-01,1998-10-01,1998-10-01,1998-09-01
SON,1998,-1.12,1998-09-01,1998-10-01,1998-11-01,1998-11-01,1998-10-01
OND,1998,-1.31,1998-10-01,1998-11-01,1998-12-01,1998-12-01,1998-11-01
NDJ,1998,-1.47,1998-11-01,1998-12-01,1999-01-01,1999-01-01,1998-12-01
DJF,1999,-1.51,1998-12-01,1999-01-01,1999-02-01,1999-02-01,1999-01-01
JFM,1999,-1.25,1999-01-01,1999-02-01,1999-03-01,1999-03-01,1999-02-01
FMA,1999,-0.93,1999-02-01,1999-03-01,1999-04-01,1999-04-01,1999-03-01
MAM,1999,-0.8,1999-03-01,1999-04-01,1999-05-01,1999-05-01,1999-04-01
AMJ,1999,-0.79,1999-04-01,1999-05-01,1999-06-01,1999-06-01,1999-05-01
MJJ,1999,-0.84,1999-05-01,1999-06-01,1999-07-01,1999-07-01,1999-06-01
JJA,1999,-0.9,1999-06-01,1999-07-01,1999-08-01,1999-08-01,1999-07-01
