seas,yr,anom,mes1,mes2,mes3,disponibilidade_conservadora,data_indexada_antiga_por_centro
JAS,1955,-0.92,1955-07-01,1955-08-01,1955-09-01,1955-09-01,1955-08-01
ASO,1955,-1.11,1955-08-01,1955-09-01,1955-10-01,1955-10-01,1955-09-01
SON,1955,-1.44,1955-09-01,1955-10-01,1955-11-01,1955-11-01,1955-10-01
OND,1955,-1.59,1955-10-01,1955-11-01,1955-12-01,1955-12-01,1955-11-01
NDJ,1955,-1.51,1955-11-01,1955-12-01,1956-01-01,1956-01-01,1955-12-01
DJF,1956,-1.17,1955-12-01,1956-01-01,1956-02-01,1956-02-01,1956-01-01
JFM,1956,-0.81,1956-01-01,1956-02-01,1956-03-01,1956-03-01,1956-02-01
FMA,1956,-0.57,1956-02-01,1956-03-01,1956-04-01,1956-04-01,1956-03-01
MAM,1956,-0.51,1956-03-01,1956-04-01,1956-05-01,1956-05-01,1956-04-01
AMJ,1956,-0.49,1956-04-01,1956-05-01,1956-06-01,1956-06-01,1956-05-01
MJJ,1956,-0.47,1956-05-01,1956-06-01,1956-07-01,1956-07-01,1956-06-01
JJA,1956,-0.55,1956-06-01,1956-07-01,1956-08-01,1956-08-01,1956-07-01
JAS,1956,-0.52,1956-07-01,1956-08-01,1956-09-01,1956-09-01,1956-08-01
ASO,1956,-0.43,1956-08-01,1956-09-01,1956-10-01,1956-10-01,1956-09-01
SON,1956,-0.39,1956-09-01,1956-10-01,1956-11-01,1956-11-01,1956-10-01
OND,1956,-0.37,1956-10-01,1956-11-01,1956-12-01,1956-12-01,1956-11-01
NDJ,1956,-0.39,1956-11-01,1956-12-01,1957-01-01,1957-01-01,1956-12-01
DJF,1957,-0.27,1956-12-01,1957-01-01,1957-02-01,1957-02-01,1957-01-01
JFM,1957,-0.06,1957-01-01,1957-02-01,1957-03-01,1957-03-01,1957-02-01
FMA,1957,0.26,1957-02-01,1957-03-01,1957-04-01,1957-04-01,1957-03-01
MAM,1957,0.63,1957-03-01,1957-04-01,1957-05-01,1957-05-01,1957-04-01
AMJ,1957,0.72,1957-04-01,1957-05-01,1957-06-01,1957-06-01,1957-05-01
MJJ,1957,0.82,1957-05-01,1957-06-01,1957-07-01,1957-07-01,1957-06-01
JJA,1957,0.96,1957-06-01,1957-07-01,1957-08-01,1957-08-01,1957-07-01
JAS,1957,1.03,1957-07-01,1957-08-01,1957-09-01,1957-09-01,1957-08-01
ASO,1957,1.12,1957-08-01,1957-09-01,1957-10-01,1957-10-01,1957-09-01
SON,1957,1.15,1957-09-01,1957-10-01,1957-11-01,1957-11-01,1957-10-01
OND,1957,1.39,1957-10-01,1957-11-01,1957-12-01,1957-12-01,1957-11-01
NDJ,1957,1.62,1957-11-01,1957-12-01,1958-01-01,1958-01-01,1957-12-01
DJF,1958,1.69,1957-12-01,1958-01-01,1958-02-01,1958-02-01,1958-01-01
JFM,1958,1.59,1958-01-01,1958-02-01,1958-03-01,1958-03-01,1958-02-01
FMA,1958,1.17,1958-02-01,1958-03-01,1958-04-01,1958-04-01,1958-03-01
MAM,1958,0.84,1958-03-01,1958-04-01,1958-05-01,1958-05-01,1958-04-01
AMJ,1958,0.57,1958-04-01,1958-05-01,1958-06-01,1958-06-01,1958-05-01
MJJ,1958,0.49,1958-05-01,1958-06-01,1958-07-01,1958-07-01,1958-06-01
JJA,1958,0.43,1958-06-01,1958-07-01,1958-08-01,1958-08-01,1958-07-01
JAS,1958,0.32,1958-07-01,1958-08-01,1958-09-01,1958-09-01,1958-08-01
ASO,1958,0.28,1958-08-01,1958-09-01,1958-10-01,1958-10-01,1958-09-01
SON,1958,0.3,1958-09-01,1958-10-01,1958-11-01,1958-11-01,1958-10-01
OND,1958,0.36,1958-10-01,1958-11-01,1958-12-01,1958-12-01,1958-11-01
NDJ,1958,0.56,1958-11-01,1958-12-01,1959-01-01,1959-01-01,1958-12-01
DJF,1959,0.6,1958-12-01,1959-01-01,1959-02-01,1959-02-01,1959-01-01
JFM,1959,0.64,1959-01-01,1959-02-01,1959-03-01,1959-03-01,1959-02-01
FMA,1959,0.48,1959-02-01,1959-03-01,1959-04-01,1959-04-01,1959-03-01
MAM,1959,0.39,1959-03-01,1959-04-01,1959-05-01,1959-05-01,1959-04-01
AMJ,1959,0.24,1959-04-01,1959-05-01,1959-06-01,1959-06-01,1959-05-01
MJJ,1959,0.02,1959-05-01,1959-06-01,1959-07-01,1959-07-01,1959-06-01
JJA,1959,-0.19,1959-06-01,1959-07-01,1959-08-01,1959-08-01,1959-07-01
JAS,1959,-0.23,1959-07-01,1959-08-01,1959-09-01,1959-09-01,1959-08-01
ASO,1959,-0.04,1959-08-01,1959-09-01,1959-10-01,1959-10-01,1959-09-01
SON,1959,0.11,1959-09-01,1959-10-01,1959-11-01,1959-11-01,1959-10-01
OND,1959,0.23,1959-10-01,1959-11-01,1959-12-01,1959-12-01,1959-11-01
NDJ,1959,0.14,1959-11-01,1959-12-01,1960-01-01,1960-01-01,1959-12-01
DJF,1960,0.02,1959-12-01,1960-01-01,1960-02-01,1960-02-01,1960-01-01
JFM,1960,0.03,1960-01-01,1960-02-01,1960-03-01,1960-03-01,1960-02-01
FMA,1960,0.06,1960-02-01,1960-03-01,1960-04-01,1960-04-01,1960-03-01
MAM,1960,0.17,1960-03-01,1960-04-01,1960-05-01,1960-05-01,1960-04-01
AMJ,1960,0.04,1960-04-01,1960-05-01,1960-06-01,1960-06-01,1960-05-01
MJJ,1960,0.0,1960-05-01,1960-06-01,1960-07-01,1960-07-01,1960-06-01
JJA,1960,0.01,1960-06-01,1960-07-01,1960-08-01,1960-08-01,1960-07-01
JAS,1960,0.15,1960-07-01,1960-08-01,1960-09-01,1960-09-01,1960-08-01
ASO,1960,0.19,1960-08-01,1960-09-01,1960-10-01,1960-10-01,1960-09-01
SON,1960,0.08,1960-09-01,1960-10-01,1960-11-01,1960-11-01,1960-10-01
OND,1960,-0.07,1960-10-01,1960-11-01,1960-12-01,1960-12-01,1960-11-01
NDJ,1960,-0.07,1960-11-01,1960-12-01,1961-01-01,1961-01-01,1960-12-01
DJF,1961,0.0,1960-12-01,1961-01-01,1961-02-01,1961-02-01,1961-01-01
JFM,1961,0.03,1961-01-01,1961-02-01,1961-03-01,1961-03-01,1961-02-01
FMA,1961,0.01,1961-02-01,1961-03-01,1961-04-01,1961-04-01,1961-03-01
MAM,1961,0.05,1961-03-01,1961-04-01,1961-05-01,1961-05-01,1961-04-01
AMJ,1961,0.22,1961-04-01,1961-05-01,1961-06-01,1961-06-01,1961-05-01
MJJ,1961,0.22,1961-05-01,1961-06-01,1961-07-01,1961-07-01,1961-06-01
JJA,1961,0.08,1961-06-01,1961-07-01,1961-08-01,1961-08-01,1961-07-01
JAS,1961,-0.2,1961-07-01,1961-08-01,1961-09-01,1961-09-01,1961-08-01
ASO,1961,-0.32,1961-08-01,1961-09-01,1961-10-01,1961-10-01,1961-09-01
SON,1961,-0.22,1961-09-01,1961-10-01,1961-11-01,1961-11-01,1961-10-01
OND,1961,-0.11,1961-10-01,1961-11-01,1961-12-01,1961-12-01,1961-11-01
NDJ,1961,-0.05,1961-11-01,1961-12-01,1962-01-01,1962-01-01,1961-12-01
DJF,1962,-0.16,1961-12-01,1962-01-01,1962-02-01,1962-02-01,1962-01-01
JFM,1962,-0.17,1962-01-01,1962-02-01,1962-03-01,1962-03-01,1962-02-01
FMA,1962,-0.15,1962-02-01,1962-03-01,1962-04-01,1962-04-01,1962-03-01
MAM,1962,-0.2,1962-03-01,1962-04-01,1962-05-01,1962-05-01,1962-04-01
AMJ,1962,-0.19,1962-04-01,1962-05-01,1962-06-01,1962-06-01,1962-05-01
MJJ,1962,-0.13,1962-05-01,1962-06-01,1962-07-01,1962-07-01,1962-06-01
JJA,1962,0.0,1962-06-01,1962-07-01,1962-08-01,1962-08-01,1962-07-01
JAS,1962,-0.1,1962-07-01,1962-08-01,1962-09-01,1962-09-01,1962-08-01
ASO,1962,-0.16,1962-08-01,1962-09-01,1962-10-01,1962-10-01,1962-09-01
SON,1962,-0.25,1962-09-01,1962-10-01,1962-11-01,1962-11-01,1962-10-01
OND,1962,-0.25,1962-10-01,1962-11-01,1962-12-01,1962-12-01,1962-11-01
NDJ,1962,-0.32,1962-11-01,1962-12-01,1963-01-01,1963-01-01,1962-12-01
DJF,1963,-0.33,1962-12-01,1963-01-01,1963-02-01,1963-02-01,1963-01-01
JFM,1963,-0.17,1963-01-01,1963-02-01,1963-03-01,1963-03-01,1963-02-01
FMA,1963,0.01,1963-02-01,1963-03-01,1963-04-01,1963-04-01,1963-03-01
MAM,1963,0.13,1963-03-01,1963-04-01,1963-05-01,1963-05-01,1963-04-01
AMJ,1963,0.12,1963-04-01,1963-05-01,1963-06-01,1963-06-01,1963-05-01
MJJ,1963,0.45,1963-05-01,1963-06-01,1963-07-01,1963-07-01,1963-06-01
JJA,1963,0.76,1963-06-01,1963-07-01,1963-08-01,1963-08-01,1963-07-01
JAS,1963,1.09,1963-07-01,1963-08-01,1963-09-01,1963-09-01,1963-08-01
ASO,1963,1.09,1963-08-01,1963-09-01,1963-10-01,1963-10-01,1963-09-01
SON,1963,1.13,1963-09-01,1963-10-01,1963-11-01,1963-11-01,1963-10-01
OND,1963,1.19,1963-10-01,1963-11-01,1963-12-01,1963-12-01,1963-11-01
NDJ,1963,1.13,1963-11-01,1963-12-01,1964-01-01,1964-01-01,1963-12-01
DJF,1964,0.95,1963-12-01,1964-01-01,1964-02-01,1964-02-01,1964-01-01
JFM,1964,0.52,1964-01-01,1964-02-01,1964-03-01,1964-03-01,1964-02-01
FMA,1964,0.06,1964-02-01,1964-03-01,1964-04-01,1964-04-01,1964-03-01
MAM,1964,-0.35,1964-03-01,1964-04-01,1964-05-01,1964-05-01,1964-04-01
AMJ,1964,-0.6,1964-04-01,1964-05-01,1964-06-01,1964-06-01,1964-05-01
MJJ,1964,-0.66,1964-05-01,1964-06-01,1964-07-01,1964-07-01,1964-06-01
JJA,1964,-0.67,1964-06-01,1964-07-01,1964-08-01,1964-08-01,1964-07-01
JAS,1964,-0.7,1964-07-01,1964-08-01,1964-09-01,1964-09-01,1964-08-01
ASO,1964,-0.72,1964-08-01,1964-09-01,1964-10-01,1964-10-01,1964-09-01
SON,1964,-0.8,1964-09-01,1964-10-01,1964-11-01,1964-11-01,1964-10-01
OND,1964,-0.79,1964-10-01,1964-11-01,1964-12-01,1964-12-01,1964-11-01
NDJ,1964,-0.75,1964-11-01,1964-12-01,1965-01-01,1965-01-01,1964-12-01
DJF,1965,-0.51,1964-12-01,1965-01-01,1965-02-01,1965-02-01,1965-01-01
JFM,1965,-0.25,1965-01-01,1965-02-01,1965-03-01,1965-03-01,1965-02-01
FMA,1965,-0.04,1965-02-01,1965-03-01,1965-04-01,1965-04-01,1965-03-01
MAM,1965,0.16,1965-03-01,1965-04-01,1965-05-01,1965-05-01,1965-04-01
AMJ,1965,0.47,1965-04-01,1965-05-01,1965-06-01,1965-06-01,1965-05-01
MJJ,1965,0.79,1965-05-01,1965-06-01,1965-07-01,1965-07-01,1965-06-01
JJA,1965,1.1,1965-06-01,1965-07-01,1965-08-01,1965-08-01,1965-07-01
JAS,1965,1.27,1965-07-01,1965-08-01,1965-09-01,1965-09-01,1965-08-01
ASO,1965,1.55,1965-08-01,1965-09-01,1965-10-01,1965-10-01,1965-09-01
SON,1965,1.7,1965-09-01,1965-10-01,1965-11-01,1965-11-01,1965-10-01
OND,1965,1.82,1965-10-01,1965-11-01,1965-12-01,1965-12-01,1965-11-01
