regime,b00_RMSE,N,censo_RMSE,oni_RMSE,delta_censo_b00,delta_oni_b00
ElNino,1.9684558242729886,1256976,2.049571373220971,1.9126927929998594,0.08111554894798223,-0.055763031273129204
Neutral,1.6844859334221116,2278269,1.6778745074865757,1.6771100549387474,-0.006611425935535875,-0.007375878483364184
LaNina,2.0049429624015267,2121147,2.007275875908122,1.9878437679585714,0.0023329135065952578,-0.017099194442955268
