faixa,b00_RMSE,N,censo_RMSE,oni_RMSE
0-1,0.8500593864635931,1594787,0.8464303223013834,0.8516755808691644
1-3,1.2650088768486867,1767688,1.2713868989231316,1.2713056590737928
3-5,1.3929472295095893,1043279,1.4390387825085957,1.421394498854656
5-10,2.250370433464421,857074,2.3117692627780078,2.293552645781194
10-20,4.076236453412682,359251,4.081564137651208,3.9153973944767477
>20,10.166797727441182,34313,10.121176579758824,9.733469406896678
