horizonte,rmse,n,backtest
1,2.1296668941592753,78561,A
2,2.244317211879185,78561,A
3,1.7780129421834492,78561,A
4,2.134265621738794,78561,A
5,2.141742887071531,78561,A
6,1.6630775747553734,78561,A
7,1.5447103980796744,78561,A
8,1.4125550055326606,78561,A
9,1.3756866060852329,78561,A
10,1.6920888454999894,78561,A
11,1.8783415318553547,78561,A
12,2.4334690108790826,78561,A
13,1.9005097191407592,78561,A
14,2.0108403609190764,78561,A
15,2.7645609662935646,78561,A
16,1.844733566190779,78561,A
17,1.891708260825509,78561,A
18,1.845280072634594,78561,A
19,1.5041259121662547,78561,A
20,1.199438251574272,78561,A
21,1.558298601868189,78561,A
22,1.6831186102831321,78561,A
23,2.657074503538869,78561,A
24,1.7038417518666846,78561,A
1,1.7927592990577026,78561,B
2,1.9120872821989754,78561,B
3,2.7383306569833024,78561,B
4,1.8907650131987082,78561,B
5,1.7712965727417154,78561,B
6,1.8517090787435893,78561,B
7,1.5502865646350408,78561,B
8,1.1735609180475874,78561,B
9,1.492435035182763,78561,B
10,1.6439556416651937,78561,B
11,2.658312753666989,78561,B
12,1.723781610355529,78561,B
