volume,num_leaves,rmse_A,rmse_B,media,pior_caso
600000,31,1.919,1.8941,1.90655,1.919
1200000,31,1.9169,1.896,1.90645,1.9169
600000,15,1.9048,1.8874,1.8961000000000001,1.9048
1200000,15,1.9024477173692842,1.888968932098584,1.8957083247339341,1.9024477173692842
