fold,cutoff,modelo,SSE,N,RMSE,RMSE_M05_puro,delta
F1,2016-12-01,M05+ONI,6495580.211249997,1885464,1.8560935122158893,1.88128,-0.02518648778411081
F2,2018-12-01,M05+ONI,6272850.844770466,1885464,1.8239938018180115,1.836916,-0.012922198181988476
F3,2020-12-01,M05+ONI,6677570.974490131,1885464,1.8819155641437326,1.890257,-0.008341435856267454
AGREGADO,,M05+ONI,19446002.030510593,5656392,1.8541523405343354,1.86963,-0.015477659465664484
