horizonte,rmse,n,backtest
1,2.153403834652872,78561,A
2,2.26288398526917,78561,A
3,1.8047408884359883,78561,A
4,2.1908562272604386,78561,A
5,2.229467630197971,78561,A
6,1.7204777842579548,78561,A
7,1.6080249594943712,78561,A
8,1.5355947998513986,78561,A
9,1.4496939615205962,78561,A
10,1.7547613372273332,78561,A
11,1.9122113432548806,78561,A
12,2.4677125308397865,78561,A
13,1.8870534070356102,78561,A
14,2.0050423304043803,78561,A
15,2.7948501787591047,78561,A
16,1.9326633832830509,78561,A
17,2.0230293747403443,78561,A
18,1.8359129484603507,78561,A
19,1.6256562112935284,78561,A
20,1.3668582921445611,78561,A
21,1.5967692805008147,78561,A
22,1.6428343882058118,78561,A
23,2.679644791793969,78561,A
24,1.7516131551864318,78561,A
1,1.8251030436686857,78561,B
2,1.9457945965881829,78561,B
3,2.7509281724103998,78561,B
4,1.9836309223488322,78561,B
5,1.857149750031526,78561,B
6,1.8608416027492931,78561,B
7,1.658774393981158,78561,B
8,1.3273070760463683,78561,B
9,1.5506305646442955,78561,B
10,1.6638987578577706,78561,B
11,2.7050830499988985,78561,B
12,1.7829773069359989,78561,B
