faixa,N,pct_observacoes,B00_SSE,M05_SSE,B00_RMSE,M05_RMSE,pct_SSE_B00,pct_SSE_M05
0-1,1594787,28.194,1152394.6180166127,1125285.5893120312,0.8500593864635931,0.8400014489577466,5.802,5.691
1-3,1767688,31.251,2828738.229431511,2799548.9350629803,1.2650088768486867,1.2584652409256942,14.242,14.159
3-5,1043279,18.444,2024276.313772565,2067519.458022749,1.3929472295095893,1.4077468685290893,10.192,10.457
5-10,857074,15.152,4340365.942618392,4478273.754564677,2.250370433464421,2.285841740179425,21.853,22.65
10-20,359251,6.351,5969208.142672472,5856118.172157699,4.076236453412682,4.037438528479848,30.054,29.618
>20,34313,0.607,3546721.246941518,3445257.05660229,10.166797727441182,10.020317215872096,17.857,17.425
