backtest,amostras,rmse,delta_b00
A,300000,1.9253753452377664,0.031575345237766506
A,600000,1.9190190211534273,0.025219021153427335
A,1200000,1.916956215767601,0.023156215767601074
B,300000,1.9084791196224091,0.008179119622409026
B,600000,1.894127188381157,-0.006172811618843088
B,1200000,1.8960521818925482,-0.004247818107451895
