horizonte,rmse,n,backtest
1,2.2806551653582696,78561,A
2,2.5670684041198304,78561,A
3,2.117188113702321,78561,A
4,2.340116148055538,78561,A
5,2.612958037671661,78561,A
6,1.9370237819504361,78561,A
7,1.9068423117995377,78561,A
8,1.869115639191216,78561,A
9,1.794326068125153,78561,A
10,1.983759586355544,78561,A
11,2.0989009044585787,78561,A
12,2.697556022445978,78561,A
13,2.223413404908926,78561,A
14,2.1639554563408554,78561,A
15,3.176914826169507,78561,A
16,2.348418676844411,78561,A
17,2.3058720244149873,78561,A
18,2.2070153166334383,78561,A
19,2.0958882625947965,78561,A
20,1.7303145795059112,78561,A
21,1.767429118371046,78561,A
22,1.9348143897088388,78561,A
23,2.791978207042039,78561,A
24,2.442642287596881,78561,A
1,2.256106443794526,78561,B
2,2.113452649374424,78561,B
3,2.9346010829697415,78561,B
4,2.2851718061851085,78561,B
5,2.1002348028501268,78561,B
6,2.2691034170870057,78561,B
7,2.2029692325694903,78561,B
8,1.69379379312601,78561,B
9,1.792675661699933,78561,B
10,1.9307583093668674,78561,B
11,2.925147121976757,78561,B
12,2.318175274913046,78561,B
